title,company,location,link,link_hash,source,description,salary_range,job_type,work_auth,employment_type,job_status,search_keyword
"Software Engineer, Claude Design",Anthropic,"San Francisco, CA, New York City, NY, Seattle, WA",https://job-boards.greenhouse.io/anthropic/jobs/5229345008,5edc978fe46aa44324f168007eda3184628d7ea9c8622a9df1a2bcb0175811a2,bvp_jobs,,USD 320000-485000,,,,active,software engineer
"[Pipeline] Software Engineer, Safeguards Labs",Anthropic,"New York City, NY",https://job-boards.greenhouse.io/anthropic/jobs/5219486008,a8208dc0ca86cd17d6d6e60ffd6b174063e4f3533fdcdeac4939fdce8b5d1cfd,bvp_jobs,,USD 405000-485000,,,,active,software engineer
"Software Engineer, Systems - Claude Code",Anthropic,"San Francisco, CA",https://job-boards.greenhouse.io/anthropic/jobs/5218395008,d38e00212f2e449164e7bc3f2563e0d4d197da892b212efc363844b8aff3674f,bvp_jobs,,USD 320000-485000,,,,active,software engineer
Senior Software Engineer (AI),Litify,"Anywhere, USA",https://job-boards.greenhouse.io/litify/jobs/7961561,f8c961aa1c925b16e731a532bcde6bade879dc27271920329d2cd17ad1a26dfb,bvp_jobs,,USD 135000-145000,,,Remote,active,software engineer
"Staff Software Engineer, Quantitative Evaluations",Waymo,"Mountain View, CA, USA, San Francisco, CA, USA, New York, NY, USA",https://careers.withwaymo.com/jobs?gh_jid=7943238,66e95acb2b7bb86b3e5e884c8495b5e2e4c74d43da858c7118afb87d3cc163e9,bvp_jobs,,USD 251000-310000,,,Hybrid,active,software engineer
Software Engineer,Waymo,"PERM - N, A",https://careers.withwaymo.com/jobs?gh_jid=7960666,4442a46d83075858041849150be29fa597d38a4db174c9efe34e8d7c04f2011e,bvp_jobs,,,,,,active,software engineer
Software Engineer,Waymo,"PERM - N, A",https://careers.withwaymo.com/jobs?gh_jid=7960517,8bf6dd65e194eea1bd5a629a3c92d2155732952b31d6fd45a947a630af97edb2,bvp_jobs,,,,,,active,software engineer
"Senior Software Engineer, Enforce - Safety Processing",Discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/8545675002,dfe337a4580301fadaac2f7133fea1f9bec70c167726802cebd3a1be902ac8fc,bvp_jobs,,USD 196000-220500,,,,active,software engineer
"Software Engineer, Core Product",Discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/8520965002,dfb4a956b2b1aa5af67d0308048a59be253aad95215b2f89b2c420410f2d3a31,bvp_jobs,,USD 160000-180000,,,,active,software engineer
"Senior Software Engineer, Machine Learning (Ads)",Discord,San Francisco Bay Area,https://job-boards.greenhouse.io/discord/jobs/8538039002,eb75507c47d63a3d050a8d67ffca71471e2becce220a569c271d11cb4de6f039,bvp_jobs,,USD 220000-247000,,,,active,software engineer
Senior Software Engineer | Web + Design,Ramp,"New York City, NY, USA, New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/8d61885c-0f08-4267-8ace-69e28b1d3f38,17efbe950f37d2561861abafd93fd594bce8e57ff3c778cee007e529efc8a856,bvp_jobs,,USD 200000-300000,,,Hybrid,active,software engineer
"Senior Software Engineer | GTM Platform, Backend",Ramp,"New York City, NY, USA, New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/428f41e2-48e8-409d-b5e3-8053f7fc7a27,10c41832d15f7ebce2924b7a0b966b006f819c237ff5481eaddec705f904dc17,bvp_jobs,,USD 200000-310000,,,Hybrid,active,software engineer
"Software Engineer, Frontend",Ramp,"New York City, NY, USA, New York, NY (HQ), San Francisco, CA, Miami, FL, Remote (US), Remote (Canada)",https://jobs.ashbyhq.com/ramp/4e64ab86-4e30-403b-b1b9-41dc052570ce,b75082f4166b64ce7f513d90c59dda0ae96c8620b84a419b0cd8307e433c4f8f,bvp_jobs,,USD 143200-284000,,,Remote,active,software engineer
Software Engineering Manager III - Growth,onXmaps,"Missoula, Montana, United States",https://job-boards.greenhouse.io/onxmaps/jobs/4680035006,59987c481321809f9eb0c1d018e55eaa418a8f74444ea6a34d0103a50f9d0d21,bvp_jobs,,USD 150000-188000,,,Remote,active,software engineer
Senior Software Engineer - Map Viewer,onXmaps,"Bozeman, Montana, United States",https://job-boards.greenhouse.io/onxmaps/jobs/4672167006,1a77a064505e91dc2f3bd63229acf69f657c9c1f358604942590af1ef6186b69,bvp_jobs,,USD 148000-182000,,,Remote,active,software engineer
Staff Software Engineer - AI,onXmaps,"Bozeman, Montana, United States",https://job-boards.greenhouse.io/onxmaps/jobs/4675041006,ffb6997ebc34ab456d045cf9f16fd856c08294481784f765676e0ae5ac4a5a94,bvp_jobs,,USD 169000-211000,,,Remote,active,software engineer
"Senior Software Engineer, Audit (Full Stack)",Fieldguide,"San Francisco, California, United States, San Francisco, CA or Remote (USA)",https://jobs.ashbyhq.com/fieldguide/2a6ecb8d-c920-4bdc-8592-705c5b5f2f1d,e520b6523146ab1f9738a41d40f500830417b6a3d9a102a1e20d649697c25efb,bvp_jobs,,USD 190000-215000,,,Remote,active,software engineer
"Staff Software Engineer, Audit (Full Stack)",Fieldguide,"San Francisco, California, United States, San Francisco, CA or Remote (USA)",https://jobs.ashbyhq.com/fieldguide/6d4dd983-83a2-4079-bf91-3ae93ed596ec,6eaa69d7d3550850faa28ba9bf014ff404a7d6362cce27c49c0ed420f85250f7,bvp_jobs,,USD 210000-250000,,,Remote,active,software engineer
Deployed Software Engineer (Senior or Staff),Fieldguide,"San Francisco, California, United States, San Francisco, CA or Remote (USA)",https://jobs.ashbyhq.com/fieldguide/5147ad09-1d4e-4cbf-93b0-b584ff46ce74,91119556bfc10d9d53aa50c1249acbd38e47c98c1f7647677b54e7b7f8c89711,bvp_jobs,,USD 160000-250000,,,Remote,active,software engineer
AI Platform Software Engineer,DRIVENETS,Israel,https://www.comeet.com/jobs/drivenets/72.006/ai-platform-software-engineer/AA.B6C,deb2ee8296e45e37950163bad58d1229dc03e0b28d9fbbad2a2df00eec49a5e1,bvp_jobs,,,,,,active,software engineer
AI Platform Software Engineer,DRIVENETS,Tel Aviv,https://www.comeet.com/jobs/drivenets/72.006/ai-platform-software-engineer/AA.B6C-92.601,3a941e56aee1bf1ab10b295ee54db68c6eaf5d443aac2460a3ae1560da5a7b68,bvp_jobs,,,,,,active,software engineer
Senior Software Engineer Infra,DRIVENETS,"Tel Aviv, Israel",https://www.comeet.com/jobs/drivenets/72.006/senior-software-engineer-infra/0B.160,c54a62f953234d5ee63ee2a835c5af534e5b5a455cfa3418f6d638f1fd4bde6d,bvp_jobs,,,,,,active,software engineer
Senior Software Engineer,Unframe AI,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://job-boards.eu.greenhouse.io/unframe/jobs/4876643101,453e9322b7d2bff870277df3a51370fc4c28d66e53a9a570d3016ffd2c9f79c5,bvp_jobs,,,,,,active,software engineer
Full Stack Software Engineer,Unframe AI,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://job-boards.eu.greenhouse.io/unframe/jobs/4876639101,54600734574bb377e43b25435dc347f8ad1edadd35b90066d50e1371a6f43b69,bvp_jobs,,,,,,active,software engineer
Senior Full Stack Software Engineer,Unframe AI,"Tel Aviv-Yafo, Tel Aviv District, Israel",https://job-boards.eu.greenhouse.io/unframe/jobs/4876642101,4f3ed5dfb9300ea76cbbf23eb9984d2d3f275b9e590bb9c19b3dcd51547da9ab,bvp_jobs,,,,,,active,software engineer
