title,company,location,link,link_hash,source,description,salary_range,job_type,work_auth,employment_type,job_status,search_keyword
Senior Software QA Engineer,Anduril,"Lexington, MA, USA",https://boards.greenhouse.io/andurilindustries/jobs/5147483007,d4cad7cfcad31736b9c8dad9ac7f59faf48cc8a611ae9e4cc6fa42692b1e958b,general_catalyst,,USD 146000.0-194000.0/year,,,On-site,active,software engineer
Software Engineer,ThoughtSpot,"Mountain View, CA, USA",https://www.linkedin.com/jobs/view/software-engineer-at-thoughtspot-4418241301,5494ec18bee478733976b95da4dc8286853c6aabaef0044e6a54940f25062737,general_catalyst,,USD 100000.0-120000.0/year,,,On-site,active,software engineer
Software Engineer,Fay Nutrition,"United States, San Francisco, CA, USA, Remote, New York, NY, USA",https://boards.greenhouse.io/fay/jobs/5231947008,e940fa52865502400f04a43cb9b7116acfc163136c37b9b27387370c89add159,general_catalyst,,,,,Remote,active,software engineer
"Senior Software Engineer, Fullstack, Experience",Iru,"Miami, FL, USA",https://jobs.lever.co/iru/f537d9f2-c8b6-4531-a9b3-229642771168,8d8692ed66b62cde3b778e1cd1ba3b1de0a2cba55518f5d40d309ef7d62d9e4b,general_catalyst,,,,,On-site,active,software engineer
Senior Software Engineer,Armis,"Tel Aviv District, Israel, Tel Aviv-Yafo, Israel",https://boards.greenhouse.io/armissecurity/jobs/5994462004,00b77de85be85bf4979c98ec4bf873e760c1aa3e484705013576b91bc6f17ced,general_catalyst,,,,,On-site,active,software engineer
"Senior Software Engineer, Lab Software",Lila Sciences,"Cambridge, MA, USA",https://boards.greenhouse.io/lilasciences/jobs/4250038009,225c7ee4fbbfd13f4eddccbbf08e8d03864cd8bbbd1369b5698708bf188c70ee,general_catalyst,,USD 144000.0-210000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, Operations Research",Lila Sciences,"Cambridge, MA, USA",https://boards.greenhouse.io/lilasciences/jobs/4246973009,f81a4c4665df1f7cb8ef135f91792905d6dfc6b899dc6e997bb7d1428782ed9e,general_catalyst,,USD 180000.0-256000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, Data",Lila Sciences,"San Francisco, CA, USA, Cambridge, MA, USA",https://boards.greenhouse.io/lilasciences/jobs/4250077009,00c8a40b4643f69ac33e0fb28537081331f4521a982e4cc92bdaa162a053141e,general_catalyst,,USD 144000.0-288000.0/year,,,On-site,active,software engineer
"Engineer II /Senior Software Engineer, Simulation",Lila Sciences,"Cambridge, MA, USA",https://boards.greenhouse.io/lilasciences/jobs/4254265009,3b52dc5e8eb04ec7f94a9e6f0a1868a5b7bc272911541dde332fd6129dbdf86d,general_catalyst,,USD 120000.0-192000.0/year,,,On-site,active,software engineer
"Senior Software Engineer, App",Lila Sciences,"San Francisco, CA, USA, Cambridge, MA, USA",https://boards.greenhouse.io/lilasciences/jobs/4248042009,bcf53b0d7f6e7fb36d17aa802340c458e19f6d7d148f73ed84b419e06026a1b9,general_catalyst,,USD 144000.0-240000.0/year,,,On-site,active,software engineer
Senior Software Engineer,CertifyOS ,"Bengaluru, Karnataka, India, Pune, Maharashtra, India",https://jobs.ashbyhq.com/certifyos/1107c270-dc49-4eae-a9e1-44538c2a3508,251462423d30afa7eaa4524c67ebc9260bfd8d3bb1131fc8c777688f05974926,general_catalyst,,,,,On-site,active,software engineer
"Software Engineer, Backend",Finch,"San Francisco, CA, USA",https://jobs.lever.co/finch/694319b3-97e4-405c-a6ec-92567b2d88fb,1a1d9fdda3be7b7c17823879f2d2fc37a46fcb5fc9df7838cd9565ff0309cbbb,general_catalyst,,USD 160000.0-200000.0/year,,,On-site,active,software engineer
Staff Software Engineer - Flights,TravelPerk,"London, UK",https://jobs.ashbyhq.com/Perk/06c1ffc5-d01f-4ff4-9f51-bc51711776d3,1b083d86c0c7b120035d4094603c5ec63491199a2d57111f4106071c057ccd04,general_catalyst,,,,,On-site,active,software engineer
Staff Software Engineer - Flights,TravelPerk,"Barcelona, Spain",https://jobs.ashbyhq.com/Perk/7d0aeaa8-1251-40fe-9847-b141bd926d93,8b566a50eef074d59e794b8db26eea797f193b16f84e6b011134b5a401211f58,general_catalyst,,,,,On-site,active,software engineer
Staff Software Engineer - Flights,TravelPerk,"Berlin, Germany",https://jobs.ashbyhq.com/Perk/a2766182-f5e5-4fc3-b588-fda583094f26,84d895551896a52da75fef96bfc4ae88b635799aabb05b34afa0bfb9b940c974,general_catalyst,,,,,On-site,active,software engineer
Staff Software Engineer - Flights,TravelPerk,"Birmingham, UK",https://jobs.ashbyhq.com/Perk/c8e88c1d-f95f-4134-84a4-95640145689d,03654b4e1530a9d2f174c98463d0f93a9e014919430d64d3f532acdc4a342ee3,general_catalyst,,,,,On-site,active,software engineer
Staff Software Engineer - Flights,TravelPerk,"Edinburgh, UK",https://jobs.ashbyhq.com/Perk/a46f5832-d078-4f31-a98f-676c3adadc1d,25c9ba72d3a4fc0fe3daa332e3fe31e5388f5b087add81b006bca44f51976b61,general_catalyst,,,,,On-site,active,software engineer
"Staff Software Engineer, Developer Productivity Async",Gusto,"San Francisco, CA, USA, Los Angeles, CA, USA, New York, NY, USA, Denver, CO, USA, Seattle, WA, USA",https://boards.greenhouse.io/gusto/jobs/7947658,72c16a7e2eeb7412f39e0be7c2a4656e0d30a3dde18af08ef4259eab5f038411,general_catalyst,,USD 189000.0-250000.0/year,,,On-site,active,software engineer
Staff Software Engineer,Samsara,"California, USA, Remote",https://boards.greenhouse.io/samsara/jobs/7752678,4849d55088db4bac180d2c58370b4f96e07184162504af0321b7d410818b41c3,general_catalyst,,USD 162400.0-290000.0/year,,,Remote,active,software engineer
Senior Software Engineer - Cloud Enablement (Python/Golang),Canva,"Sydney, NSW, Australia",https://jobs.smartrecruiters.com/Canva/6000000001106728,c94a5e4c836bd624ab458153f8664180756e9545ed3df553b6eb4047ebaebe13,general_catalyst,,,,,On-site,active,software engineer
Senior Software Engineer - Cloud Enablement (Python/Golang),Canva,"Melbourne, VIC, Australia",https://jobs.smartrecruiters.com/Canva/6000000001106733,7ddabcf4901bd4091b1e8baed88c79169544a025d7b8412f05a2a91aec2da960,general_catalyst,,,,,On-site,active,software engineer
Senior Backend Software Engineer,H1,"New York, NY, USA",https://jobs.lever.co/h1/fa247aaf-6761-4d19-b650-defc05b55268,064d25fa61d9e41d70b7fc21fa2130ed75f3d436b908dba5d3269c12482e0e35,general_catalyst,,USD 135000.0-160000.0/year,,,On-site,active,software engineer
Senior Production Software Engineer,Anduril,"Lexington, MA, USA",https://boards.greenhouse.io/andurilindustries/jobs/5146319007,5ed8c788bc519c281cfced8d1f810ec4f112b086fae5c26361fdf4e982ef3fbe,general_catalyst,,USD 191000.0-253000.0/year,,,On-site,active,software engineer
Senior Manufacturing Software Engineer,Anduril,"Lexington, MA, USA",https://boards.greenhouse.io/andurilindustries/jobs/5146323007,0e12492c4ef537c17a907f2fb68a62ece922f10f9d69ca93b5a5ce6da4459b36,general_catalyst,,USD 191000.0-253000.0/year,,,On-site,active,software engineer
Senior Mission Software Engineer,Anduril,"Lexington, MA, USA",https://boards.greenhouse.io/andurilindustries/jobs/5145542007,cde7db04a8522e950fe10a477845972e25494fe8f5578c05711e6e904cc91c57,general_catalyst,,USD 191000.0-253000.0/year,,,On-site,active,software engineer
Software Engineer - AI Agentic Product Dev Team (US),Eightfold,"Santa Clara, CA, USA",/careers/job/68761482276,e921390c73fb294aa31a393e1c35caec09a81e0ea230f99985ef4908a346c8e9,general_catalyst,,,,,On-site,active,software engineer
Staff Software Engineer (Generalist),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/f2967915-934d-43b5-b31e-edc575197d57,c484afdea36cc025f859a4c8004f12a460a789b790100f15d818991e46730a4b,general_catalyst,,USD 240000.0-300000.0/year,,,On-site,active,software engineer
Staff Software Engineer (AI Agents),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/515a639c-cea8-4fef-a59f-cc6e0ea4a7cb,f61a669e981541b7a006d5bdea1ecce2aefa8560a5b86044002e6d4741e090ad,general_catalyst,,USD 240000.0-300000.0/year,,,On-site,active,software engineer
Senior Software Engineer (Generalist),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/fca99734-b011-40cf-97d8-c9266dd29e64,2f54569f02d2e084457ef5bdcaa677f3ea85166da53785b585a45c495b15be53,general_catalyst,,USD 200000.0-240000.0/year,,,On-site,active,software engineer
Senior Software Engineer (AI Agents),Traba,"San Francisco, CA, USA, New York, NY, USA",https://jobs.ashbyhq.com/traba/be334dd3-ede8-4737-81fe-a937791880c6,500e8f147a8ad90b9e9bca53bc192198137b84551f4a4323f24f4cfd9bd9f8cc,general_catalyst,,USD 200000.0-240000.0/year,,,On-site,active,software engineer
Software Engineer (Generalist),Traba,"New York, NY, USA",https://jobs.ashbyhq.com/traba/cae225b4-79fc-482e-8d3a-935d63e00c82,37319649251edd5429125278d14e145dad2d39870bdf328ec700e74ba8a2609a,general_catalyst,,USD 140000.0-200000.0/year,,,On-site,active,software engineer
Senior Software Engineer - Flights,TravelPerk,"Barcelona, Spain",https://jobs.ashbyhq.com/Perk/e5169681-48f8-4004-ad3b-8357e1ba4a39,475d2ccb78c87323e3e04d9e1a5b34852b2e04fdd6be5a7bf5dd7cd3a70da200,general_catalyst,,,,,On-site,active,software engineer
