title,company,location,link,link_hash,source,description,salary_range,job_type,work_auth,employment_type,job_status,search_keyword
"Software Engineer III/Senior, Infra Platform",ngrok,"San Francisco, CA",https://job-boards.greenhouse.io/ngrokinc/jobs/6003176004,548c66f084a90cebb36b2cbca24ccd6632ab64ff6281c86a2a3695b8126c6439,lsvp_jobs,,USD 202500-247500,,,,active,software engineer
Senior Software Engineer | Web + Design,Ramp,"New York City, NY, USA, New York, NY (HQ)",https://jobs.ashbyhq.com/ramp/8d61885c-0f08-4267-8ace-69e28b1d3f38?utm_source=jobs.lsvp.com,440c344c0e526f405a1888fd4025ca7761ca321e8370facdbcfae0ca60e76f22,lsvp_jobs,,USD 200000-300000,,,,active,software engineer
LTD Frame Automation Software Engineer,Intel,"US, Oregon, Hillsboro, United States of America",https://intel.wd1.myworkdayjobs.com/External/job/US-Oregon-Hillsboro/LTD-Frame-Automation-Software-Engineer_JR0284284,def4c551c708571711591162e826c786efadc529f5c34ae2b5b01fd17891c954,lsvp_jobs,,USD 95640-181940,,,,active,software engineer
Senior Manufacturing Software Engineer,Anduril Industries,"Lexington, Massachusetts, United States",https://boards.greenhouse.io/andurilindustries/jobs/5146323007?gh_jid=5146323007,24c46b460668954299e7f126b2a07b1d1a7157f52dae3a4883ee4eba98250218,lsvp_jobs,,USD 191000-253000,,,,active,software engineer
Security Software Engineer,Normalyze,"Utah, United States of America, New York, California, Texas, Colorado",https://proofpoint.wd5.myworkdayjobs.com/ProofpointCareers/job/Utah/Security-Software-Engineer_R14278,f717df024f62bd81c0ea57efec6f5fa014f0ff0ccd6f14c67dd27063e6fce3cf,lsvp_jobs,,USD 101600-214005,,,,active,software engineer
Forward Deployed Engineer - Software Engineer - Singapore,ElevenLabs,"Singapore, Singapore, Singapore, Japan, Australia, Taiwan",https://jobs.ashbyhq.com/elevenlabs/36bdb528-004b-482c-8924-33b27b76121f?utm_source=jobs.lsvp.com,a6efad89f46191959ab14fc7e4096238c23976282c35b5e77433cac9cd4f72fe,lsvp_jobs,,USD 40000-160000,,,,active,software engineer
Software Engineer - AI Agentic Product Dev Team (US),Eightfold.ai,"Santa Clara, CA,US, US",https://app.eightfold.ai/careers/job/68761482276,9e6c0c2e9490a27ac5d367618b8b959c5d0576b11d91a91240e8b54f0b123f17,lsvp_jobs,,USD 140000-205000,,,,active,software engineer
Career Accelerator Program - Software Engineer,Texas Instruments,"United States, 12500 T I Blvd, Dallas, TX, US",https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25010693/,9dc6065a0eee0cef9f8b88f539fc26367ba9b14a4f25a68944a380091603b158,lsvp_jobs,,,,,,active,software engineer
Staff Software Engineer (L6) - Partner Ecosystem,Databricks,"Bengaluru, India",https://databricks.com/company/careers/open-positions/job?gh_jid=8476582002,ec394c87bbe8a3d5800abf63b0b6f649d58f88208920fcd762fc2f2470b911ba,lsvp_jobs,,USD 5000-50000,,,,active,software engineer
Senior Software Engineer - Data Integration & JVM Ecosystem,ClickHouse,United States (Remote),https://job-boards.greenhouse.io/clickhouse/jobs/6000796004,cf6b91a3f7550d32f76f6be0dc8785e397b7d833ffdeeb97798e50b4e781d45a,lsvp_jobs,,USD 125600-232000,,,,active,software engineer
"Staff Software Engineer, Builders",EvenUp,"Toronto, Ontairo, Canada, Toronto (hybrid), San Francisco (hybrid)",https://jobs.ashbyhq.com/evenup/eaa77b92-827e-43e1-a5b2-7753894abbf7?utm_source=jobs.lsvp.com,6bdf8f476921080a50b10f19da9d178ff9796949fef4fa113192c8dc6dbde66e,lsvp_jobs,,USD 110000-250000,,,,active,software engineer
"Software Engineering Director - Switching/Routing, Layer 1, PHY, Kernel, Platform area",Marvell Semiconductor,"Santa Clara, CA, United States of America",https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Santa-Clara-CA/Software-Engineering-Director---Switching-Routing--Layer-1--PHY--Kernel--Platform-area_2602109,4d244f3f56d6afc103d6aa0b5acf9d1eda196fdad42a64d0d8f2ec1fa7d2fb79,lsvp_jobs,,USD 190280-285000,,,,active,software engineer
Software Engineer IC-02,Stripe,"New York, NY",https://stripe.com/jobs/search?gh_jid=7926966,d207baecb49cdb5a1e4a01486011c401bb76a125a665311716e112a2abab5cd4,lsvp_jobs,,USD 160805-235200,,,,active,software engineer
"Senior Software Engineer, Cloud",Redpanda Data,"San Francisco, CA",https://job-boards.greenhouse.io/redpandadata/jobs/4698626005,8e382f86095139153d0d4c83becafe99e2fe6c3920770184caab2274824cf0ba,lsvp_jobs,,USD 205000-240000,,,,active,software engineer
"Software Engineer, ASIC",Neuralink,"Austin, Texas, United States, South San Francisco, California, United States",https://boards.greenhouse.io/neuralink/jobs/7743087003?gh_jid=7743087003,b0886888821c6e9c2e0da6ae8cbc5ecd3f9a18785f7e3a1f88428b91c5b7a887,lsvp_jobs,,USD 123000-216000,,,,active,software engineer
"Software Engineer, Manufacturing Test Systems",Skild AI,"San Mateo, California",https://job-boards.greenhouse.io/skildai-careers/jobs/5228757008,fa303dea8dee5a39d39af5ba5153f6dfbb6dc9f999ad57b4248ce321a5e0ded9,lsvp_jobs,,USD 100000-300000,,,,active,software engineer
Senior Software Engineer,Navan,"Tel-Aviv, Israel",https://navan.com/careers/openings?gh_jid=7896395,f62ed6ecb402f48199763c336e0b490962ff29560cdba351d8059e1c54cf4ec5,lsvp_jobs,,,,,,active,software engineer
Software Engineer (Endpoint DLP),Cato Networks,"Tel Aviv District, Israel",https://www.catonetworks.com/careers/careers-post/4860424101?gh_jid=4860424101,efbf5ca28a14fcd450ef94ceea2dd3bb7e97ce3f8ce708f92609ce0e83c05166,lsvp_jobs,,,,,,active,software engineer
Staff Software Engineer - Data Protection,Verkada,"San Mateo, CA United States",https://job-boards.greenhouse.io/verkada/jobs/5143763007,ca9297843118c4a70a15a750d27594402efe831c43a3235c5c9262489530576f,lsvp_jobs,,USD 200000-300000,,,,active,software engineer
"Software Engineer, Full Stack",Exa,"Singapore, Singapore, Singapore, Singapore",https://jobs.ashbyhq.com/exa/74259e29-71cf-4e9b-a264-1b1166a21f61?utm_source=jobs.lsvp.com,65ca2b94bb0579d311115c0db10505da1cda8e260942f88a30b29bdf6708d47c,lsvp_jobs,,SGD 90000-300000,,,,active,software engineer
"Senior Software Engineer, Frontend Platform",Alloy,New York City,https://www.alloy.com/about/jobs/detail?gh_jid=8558834002&gh_jid=8558834002,bef6836b169eab742eb6e79d400956fd317bce3c00eb451dbed8393aa637b5b0,lsvp_jobs,,USD 166000-209000,,,,active,software engineer
Senior Software Engineer,Oolka,Bangalore,https://www.instahyre.com/job-426290-senior-software-engineer-at-oolka-bangalore/,23573902733b6c7a8f3685b7949a6c16f3a0cf45d1b61b3d9a23df7e4ceb53cf,lsvp_jobs,,USD 5000-30000,,,,active,software engineer
Staff Software Engineer,Outschool,Remote (U.S. & Canada),https://job-boards.greenhouse.io/outschool/jobs/4683198006,620cfe23449609b2898ba5f8abeb15d9efd984e517bf1dcf3940399d3c3603a5,lsvp_jobs,,CAD 158950-205000,,,,active,software engineer
"Software Engineer III/Senior, AI Gateway",ngrok,"San Francisco, CA",https://job-boards.greenhouse.io/ngrokinc/jobs/6004356004,7ba5a836e4614b5a6af166c90dc62b3e72be7ed4722a5c443bab727b2e284766,lsvp_jobs,,USD 202500-247500,,,,active,software engineer
Senior Mission Software Engineer,Anduril Industries,"Lexington, Massachusetts, United States",https://boards.greenhouse.io/andurilindustries/jobs/5145542007?gh_jid=5145542007,12ef1ad7463b191cdd4bad7c16b44537015969b02b50589b2a4fdcfb28f4b58b,lsvp_jobs,,USD 191000-253000,,,,active,software engineer
