title,company,location,link,link_hash,source,description,salary_range,job_type,work_auth,employment_type,job_status,search_keyword
Strategy & Operations Lead,Sailor health,"New York, U.S.",https://startup.jobs/strategy-operations-lead-sailor-health-7154049,93b3a05cc9465fd9753a2e0944be330dbf40c218027c27310ed4b0692e9bb14e,startup_jobs,"🏥 About Sailor Health

Sailor Health is on a mission to solve the mental health crisis among older adults. Getting older in America is tough: 90% of seniors live with chronic health conditions, 40% feel isolated, and older adults have the highest suicide rates of any age group. Sailor exists to change that.

Sailor Health is building the AI-native health system for happier and healthier aging. Sailor offers virtual mental health, care navigation, wellness classes, and AI care agents. Our vision is to become the trusted household name for older adults in America, setting a new standard for aging with dignity and honor.

We are growing quickly and have partnered with Medicare to offer affordable and exceptional healthcare to thousands of patients. We are honored to have the support and backing of world-class founders from Ramp, Nourish, and Headway.

⭐ About the Role

Location: New York City, in office, 5 days a week.


We’re hiring a  Strategy & Operations Lead / Associate to join our core team at Sailor Health and work side-by-side with the founders to build the backbone of care delivery. This role is a unique opportunity to architect Sailor’s growth infrastructure across operations, clinical delivery, and product. You’ll design workflows, lead complex cross-functional projects, and drive operational excellence at scale. If you thrive in zero-to-one environments and want to make an outsized impact, we’d love to meet you.


💻 Your Key Responsibilities
Scale care delivery 10x: Build and optimize the workflows that ensure every patient and therapist has a 10/10 experience. You’ll be building the foundation for improving clinical outcomes and ensuring patients receive timely, consistent, and compassionate care.
Own key operational levers: You'll be responsible for key operational metrics such as retention, NPS, and clinical outcomes. 
Launch our operations system: Develop KPIs and reporting to track program adoption, retention, and impact. 
Collaborate on product roadmap: Work with engineering and design to turn frontline insights into product features that power care coordination, therapist tooling, and patient engagement.
✅ What We’re Looking For
You’re an A+ player: You have a hunger to win and a proven track record of being a top performer in fast-paced environments. You want to be the best and help your team win.
1-6 years of experience: You’ve led high-ownership roles in fast-paced environments, whether in startups, healthcare, or finance. You've owned KPIs and moved them materially. 
First-principles thinker: You break down complex problems clearly, and know when to zoom into the details or step back to see the system.
You’re relentlessly resourceful: new challenges don’t scare you. You move fast, leverage your network, and solve problems without needing a playbook.
Analytical and decisive: You know how to set KPIs, find root causes, and make bold decisions. You value outcomes over optics.
Collaborative & mission-aligned: You’re excited to work directly with founders, clinicians, and engineers. You care deeply about helping older adults access care.
Our Offer to You
💰 Competitive salary and founding member-level equity
🩺 Comprehensive benefits, including Health, dental & vision insurance
🌴 Flexible PTO and sick days
🍱 Lunch and dinner in the office covered by Sailor
🎤 Team building events
🕺🏻 Friendliest and most dynamic team culture
✚✚ Additional: One Medical Membership for US employees, HSA, Talkspace, HealthAdvocate, Teledoc Health","$125,000 – $225,000",Full-time,,On-site,active,software engineer
Founding Full-Stack Engineer,Sailor health,"New York, U.S.",https://startup.jobs/founding-full-stack-engineer-sailor-health-7153576,f8f0a553ef8a0bab4054e7e852b92e8b952a0133debe3f3df11733fe964c2690,startup_jobs,"🏥 About Sailor Health

Sailor Health is on a mission to solve the mental health crisis among older adults. In the United States, older adults have the highest suicide rates of any age group yet receive the least mental health care. By 2030, over 65 million seniors will make up nearly a quarter of the U.S. population, creating one of the largest and most urgent challenges in healthcare.

Sailor is building the platform for senior mental health, connecting older adults, therapists, healthcare professionals, and insurance plans. Our AI-native operating system powers seamless care coordination, real-time clinical insights, and insurance billing - enabling therapists to spend more time delivering compassionate care.

We are growing quickly and have partnered with Medicare to offer affordable and exceptional psychotherapy to hundreds of patients. We are honored to have the support and backing of world-class founders from Ramp, Nourish, Headway, Charlie Health, and Spring Health.



⭐ Role Overview
We’re looking for a Founding Full-Stack Engineer to lead our AI-powered full stack from architecture to launch. You’ll work side-by-side with our co-founders to build the systems and AI infrastructure that power our platform – from therapist tooling to care navigation copilots.


This is a ground-floor opportunity to design and launch an AI-first product from scratch at a startup with extreme PMF. You’ll own major technical decisions, shape our engineering culture, and bring bold ideas to life – fast. If you’re eager to move with speed and autonomy, and want your code to drive meaningful, measurable impact at scale, we’d love to meet you.

💻 Your Key Responsibilities
Build our V1 clinical operations layer: Design and ship core systems across our patient experience, therapist workflows, and EHR – from first line of code to production-ready tools.
Lead AI innovation: Build and scale AI-native features including speech-to-text triage, care navigation copilots, auto-summarized progress notes, intelligent intake, and real-time voice agents that speak with families
Set the technical bar and grow the engineering team: Own architecture and major technical decisions while rolling up your sleeves to code, review, and ship. Mentor and inspire teammates, shaping a culture of speed, excellence, and impact.
Move at the speed of light: Collaborate directly with clinicians, designers, and founders to ship, iterate, and improve in real-time – with no bureaucratic drag
✅ Ideal Qualifications & Skills
You’re an A+ player. You have a burning desire to win, a track record of excellence, and a drive to build with urgency and precision. You want to be the best and you want your team win.
You have 4+ years of experience. You’ve contributed meaningfully to engineering teams in fast-paced, high-ownership settings – ideally at startups or in founder-facing roles.
You’re fluent across the stack. You move confidently between backend and frontend systems and can architect elegant, scalable solutions end-to-end.
You’re a mission-driven leader. You care deeply about solving the mental health crisis for older adults and want your work to have life-changing impact. You lead with empathy, set a high bar for excellence, and inspire those around you to move fast with purpose.","$150,000 – $250,000",Full-time,,Hybrid,active,software engineer
Founding Senior Full Stack Engineer,Duler,,https://startup.jobs/founding-senior-full-stack-engineer-duler-7996530,bcde1e443d6f8681fc6d0a79595985be9e0693b3a8e8c02b85bfb9fdc78dafcf,startup_jobs,"The role


You'll be Duler's first full-time engineering hire — Founding Senior Full Stack Engineer — partnering directly with the founders to take our product from pre-pilot to production, and then scaling the engineering org behind it.


This is a solo role to start. You'll inherit a working MVP built to a strong foundation and own the trajectory from there: ship with our first design partners, stabilize, then hire and lead the team that carries us to the next stage. Your role grows with the company; the path is yours to create.



About Duler


With the Founder of Lodgistics (successfully acquired in 2024), we're building a workforce management platform for the hospitality industry — the software that hotel teams use to staff their property. The domain is deeper than it looks: recurring shift patterns, draft-and-publish snapshots with audit trails, occupancy-driven labor quotas, multi-property organizations, and the permission graph that goes with it. This is what we can share here, but know the roadmap is very long, disruptive, and exciting!


We're early-stage and pre-pilot, with design partners lined up. The MVP is built and working on staging. The next chapter is yours to build.



What you'll do


As a startup, the responsibilities will shift and grow over time as will the position. Here is what to expect in the first year. 
Months 0–3 — own the stack, ship with design partners, stabilize. We will focus on getting you up to speed with our Pilot platform, working with third party engineers to become an expert on our current code base. While ~80% of your time will be hands-on engineering, you will also work with the founders on establishing and adapting roadmaps and new sprints. You will also work with real clients to understand the end user experience beyond the platform to help build the right tools for the right people. 
Months 3–9 — hire, delegate, set the bar. As we continue to grow our features and client base, we will look to expand the team supporting you. This will begin with Mobile, Front End, and Back End Engineers, allowing you to focus more on reviewing and shipping code to production.
Months 9+ — strategy and scale. We will look to round out the team by expanding it to fill Engineering gaps, allowing you to continue to shift focus on reviewing code to ship along with leading the roadmap execution, vendor and security posture, and partner with founders to set the direction of the product as we expand features. 


You'll thrive if
You’ve taken a product from zero to paying customers, identifying and prioritizing key features that support the sales process 
You are passionate about coding and creating products that feel native to use
You can adapt your project plans to account for changing user scenarios, building the product where the user needs will land and doing so as efficiently as possible
You're happy in the ambiguity of pre-PMF work and move without a template
You have strong opinions about code, product, and process — held loosely
You've hired and mentored engineers, and a few of them still keep in touch
You care about the craft and the business equally


This is not for you if
You need a large existing team to be effective
You prefer deep specialization over end-to-end ownership
You'd rather optimize an existing system than decide what to build next
You are immediately looking to be above the day-to-day coding 
Are unable to adapt and rethink the product as we receive feedback from clients. 
Rely exclusively on AI tools to write and debug code or complete tasks (AI can be used but you must know how to work without it)


Must-have



Cross-cutting
0→1 SaaS experience — link to a production system you took from zero to paying customers
Hired and mentored engineers directly (names who still keep in touch is a bonus)
B2B SaaS background
B2C SaaS is a plus
Backend
Solid experience in designing and building APIs
Proficiency in Ruby (3.x), Rails (8.x)
Strong skills in PostgreSQL, Redis
Experience in Git, Docker
Familiarity with our Rails ecosystem (Solid Queue, Devise, Action Policy, RSpec, Kamal)
Frontend
Proficiency in TypeScript (strict mode)
Strong skills in form-heavy interfaces (react-hook-form + Zod or similar), atomic state management (Nanostores or similar), OpenAPI-first client generation
Experience with Vite, Tailwind CSS, shadcn/Radix UI primitives, modern testing (Vitest, Playwright, MSW)


You'll inherit this stack. The decision to keep, extend, or replace any part of it is yours to make as Lead.



Nice to have
Solid experience building complex product UIs with React (19)
Domain background in hospitality, workforce management, scheduling, or field-service software
OpenAPI-first / contract-first API design experience
Design sensibility and comfort partnering closely with designers



Compensation
Base salary: $150K—$180K USD
Equity: 1%—2%
Benefits: Health/Dental, PTO



Logistics
Location: Ideally Onsite in Raleigh,NC / Hybrid
Timezone: Eastern
Visa sponsorship: No
Reportin","$150,000 – $180,000",Full-time,,Hybrid,active,software engineer
Account Executive,Spill,"Sydney, Australia",https://startup.jobs/account-executive-spill-7890858,794b3a1aec36f641073bd7026ccb09b359e78cf0860da2a67c6d7dd2c7aaa7ee,startup_jobs,"TL;DR: 
Pay: $100k - 130,000 + up to 100% bonus 
Location: Sydney or Melbourne Hybrid: 4x/week in-person; hours 09:30-18:30 Benefits: therapy, minimum 30 days holiday + bank holidays + day off for birthday + company shutdown over Xmas, company-paid lunch on Thursdays 
The job: making high quality mental health support more accessible


About the role 
Over the past year we’ve successfully expanded our market presence by refining our product offering and building scalable and cost-effective channels for growth. With rising market demand for impactful mental-health related employee benefits, now’s the time to expand our horizons. 
You can think of this role having three important missions at Spill: 
Drive growth. You're directly responsible for fuelling Spill’s growth and helping it reach the next stage. Every deal you close brings in revenue that funds product development, new hires, and expansion. At a startup, your individual contribution has an outsized impact on whether the company succeeds or fails. 
Solve real problems. Your main focus is to help businesses solve specific people-related challenges by introducing them to a product that can genuinely improve their operations. You're not just selling software - you're helping companies to improve employee productivity, reduce absenteeism, and free up precious HR resource. 
Be the voice of the customer, You're the bridge between the market and the product team. You’re responsible for gathering valuable customer insights and sharing with the wider team to help shape the product roadmap, ensuring what gets built actually meets real market needs. 


What this role will actually do 
You’ll be the first hire in Australia and will be reporting directly into the CEO. 
You’ll be focused on bringing Spill’s mental health and wellbeing offering to SMEs in Australia, on the frontlines of advancing our mission to transform the health and happiness of the world, one workplace at a time. 
The product has compelling and differentiated, the go-to-market playbook is solid, and now we need someone who can help localise and execute with speed and intensity in a new market to help us capture the momentum and scale to the next level. 
Here are some examples of the types of tasks/projects you’re likely to be working on: 
Preparing and presenting product demos. You'll need to build a good understanding of each prospects' pain points and needs at the start of the call, then tailor the product demo to their specific use case.
Managing your pipeline. You’ll be maintaining disciplined CRM hygiene by logging activities, moving deals through stages, and keeping accurate records of all communications.
Nurturing and closing deals. You'll be following up with prospects at various stages, answering questions, and sharing resources to nurture and convert leads post-demo.
Account management: You’ll continue post-sale relationship management to ensure that every new customer has a smooth onboarding experience, and working with product and operations to solve any issues that come up.
Tracking sales performance: You'll track and monitor your progress toward monthly and quarterly sales targets, calculating what you need to close to hit your numbers.

Requirements:
You have experience working in a customer facing role. This doesn’t necessarily have to be a sales role, it could be a related field e.g. customer success or account management, recruitment, project management or retail/hospitality management.
You’ve got a basic understanding of full-cycle sales processes including outbound prospecting, discovery, pitching, product demonstration, proposal development, negotiation, and closing.
You thrive with autonomy, in a mission-driven start-up environment. This often means moving quickly, being adaptable and being willing to contribute beyond the remit of your core role.
You’re self-motivated and resilient. You thrive with ambiguity, handle feedback well, and stay motivated without the need for constant oversight.
You’re results driven, competitive and motivated by hitting targets, meeting deadlines and contributing to the overall growth of the company.
You have excellent written and verbal communication, negotiation, and relationship-building skills.

That said, we recognise that experience will vary a lot between people, so please don't be put off if you don't meet these criteria exactly. We care about outcomes rather than tickbox criteria, and it's often the case that the perfect person for the role has a CV that looks a little different. Research (by Harvard University) shows that women are particularly likely to second-guess themselves and not apply — so if you're worried you don't meet all the criteria, get in touch anyhow and let us do the worrying.

Nice to haves:
You have experience working in a B2B SaaS or SME sales environment, or a mission-driven or healthcare-focused organisation.
You’re comfortable using CRM tools
We could go on, but our company handbook is public, so you can read th","$110,000",Full-time,,Hybrid,active,software engineer
Senior Full Stack Engineer,Solace,,https://startup.jobs/senior-full-stack-engineer-solace-6654883,eaa1a15f6601dfc61eb5bdc523fd1a23322e6ef23e467be0d2a1e3c779c94c4c,startup_jobs,"As a Full Stack Engineer, you’ll join a spectacularly talented team of fellow engineers—but you will also be expected to independently own your product workflow from initial design requirements through deployment. You will be expected to move aggressively, and you will commit code daily, but you’ll get that rush of seeing your work in the wild with live users on a regular basis as you build a revolutionary product from scratch.


You are an experienced engineer who can identify problems and architect the highest-quality solutions. You are curious and enjoy working on ambiguous problems where the solutions are not (yet) well-defined. You take pride in your craft, have impeccable communication skills, and you absorb feedback exceptionally well. You aren’t afraid to make mistakes and learn from them. Above all, you enjoy taking ownership and are stifled by large organizations.


What You’ll Do
Analyze product requirements and produce high-quality, production-ready code while creating a best-in-class user experience.
Build and maintain new user-facing features with everything from database models to UI components.
Be autonomous. You’ll take full ownership of your work, and you take responsibility and accountability for every last detail, every step of the way.
Be a collaborator. You’ll work with other engineers and cross-functional partners in product and design to build a world-class product and lead new initiatives to improve our user experience.
Create services and APIs to drive existing and new features for web apps.
Maintain the health of our systems and codebase, refactor and make improvements, and keep our systems robust and resilient.
Write clear specs to ensure product/code quality for stress-free deployment.
Drive large releases to production on a continuous deployment cadence.


What You Bring to the Table
Experience working in a start-up environment.
5+ years of relevant experience on both frontend and backend development.
Strong React fundamentals and a background working with Typescript/Node.
An intuitive understanding of what it takes to create delightful, consumer-oriented experiences.
Strong communication skills that help you influence product direction and help collaborative visions come to life.
Extreme bias toward action and execution. You get antsy if you’re not writing code, improving the codebase, and vigilantly enhancing the systems that represent the big-thinking work.
Live in the United States


Our Tech Stack
Typescript across all our applications
NestJS API with TypeORM
Postgres
Redis
React/NextJs
Custom UI library built on Ant design
Heroku

Up for the Challenge?
We look forward to meeting you.","$150,000 – $200,000",Full-time,,Remote,active,software engineer
Lead AI Engineer,Sherlock,"New York, U.S.",https://startup.jobs/lead-ai-engineer-sherlockdefi-6650681,5a42ca5cfb9c48e2983713ded99f300f7784fcc6f884ec847ba9def029674f3d,startup_jobs,"About Sherlock
Sherlock believes that a sound currency and functioning financial system should be basic human rights. Sherlock’s mission is to help create an open, uncensorable financial system that is secure enough for billions of people to trust with their life savings. 


Traditional blockchain security reviews are a good start, but it’s not enough. That's why Sherlock provides protocols with state-of-the-art, incentive-aligned audit contests, bug bounties and smart contract coverage. 


Sherlock is the only security provider that includes a warranty after each audit. Sherlock customers get up to $500k of bug bounty and exploit coverage for the first month of launch after every audit.


Sherlock is also the only security provider to serve a customer’s full security needs, including collaborative audits, audit contests, bug bounties, and coverage. 


Sherlock’s audit contests combine the best of traditional auditing with a competitive twist that results in hundreds of eyes looking at the codebase and some of the best security experts in the world surfacing issues that traditional audits miss. 


Sherlock is the leader in auditing, running more public audits than any other provider last year. The Ethereum Foundation, Aave, Optimism, Cosmos, MakerDAO (now Sky) and the biggest crypto teams in the world choose Sherlock for their security needs.

Join Sherlock’s elite team on the ground floor, backed by some of the best Web3 and Silicon Valley VC firms such as Alliance, Archetype, IDEO, CoinFund, Lattice, Spartan, A Capital, and many others. 


Sherlock's Culture
Sherlock's culture is fast-moving, intense, and not right for everyone. Here are some common attributes among historically successful team members at Sherlock:


Mission-focus
Anyone in this for reasons other than creating the best financial coordination mechanism in history will either get too demotivated to last through multi-year bear markets or get too distracted during the frothy bull markets.


Willingness to work long, hard and smart
If Sherlock has any advantage, it is the willingness to work harder and think with more discipline than anyone else. This includes thinking from first principles about all important decisions and always thinking in tradeoffs and bets. 


Owner mentality
Team members get ownership in Sherlock after a short time in this role, and each is expected to act like an owner of a Michelin-star restaurant where no detail is too small.


Builder mentality
Everyone at Sherlock is deep in the arena getting their hands dirty and this is a vulnerable position. There are no pure ""idea people"" or pure managers at Sherlock; everyone is in execution mode first and foremost.


Customer focus
It is too easy to sit behind a computer and build in an echo chamber. We must go out of our way to experience the customer's viewpoint as often as possible.


Professional athlete mentality
Professional athletes opt in to a high-performance, meritocratic culture. This creates an environment that brings out the best in people and rewards each for their respective performance. But it's also an environment where being in the 70th percentile in your role means you will have a short tenure on the team. 


Comfort with directness and transparency
You must be comfortable giving direct feedback to others and receiving direct feedback yourself. ""Not ruffling feathers"" comes at the expense of moving in a suboptimal direction for too long. Sherlock is extremely transparent internally (and with customers) which means you can get involved in decisions made in any part of Sherlock. 

The Role
We believe the blockchain security space is going to be fundamentally different in the next 6-24 months. Blockchain security is one of the areas of software that has experienced very little AI-related change in the last 2-3 years. We believe this is, in part, due to the novelty and complexity of blockchain exploits. As AI improves, we expect the blockchain security space to undergo massive change. 


Sherlock wants to lead this change and disrupt its current business model. This is where Sherlock needs your help. 


No one knows how effective AI can be in finding blockchain vulnerabilities. Few have put significant resources into this effort. Even fewer have worked with true AI and blockchain security experts on this problem. Sherlock’s goal is to change that. 

We are looking for someone who has already proven themselves to be at the leading edge of building AI applications in production. This person has enough of a research background to intuit the major areas to explore. And they have experience working with LLMs to build real-world applications. If you're serious about applying for this job and you've read this far, please email jack at sherlock dot xyz with 4-sentence answers to each of these three questions: What AI application did you build or work on that got the most usage? What excites you about this position specifically? Why should Sherlock select you over hundr",$500k,Full-time,,On-site,active,software engineer
Operations Specialist - Build Systems and Solve Problems at a Growing Manufacturer,SplashBrands,"Texas, U.S.",https://startup.jobs/operations-specialist-build-systems-and-solve-problems-at-a-growing-manufacturer-splashbrands-7987365,c50926aa6c8d2a6f844da8236c700e58c9d37cc52f54115ba2e90105aade97f7,startup_jobs,"We're hiring an Operations Analyst at SplashBrands — a 100-person decorated apparel and promotional products company based in DFW. Growing fast: 70K sq ft warehouse in 2028, East Coast location by 2031.


This is a non-traditional role for someone with an analytical mindset who wants to work on real operational problems. You'll work directly with the COO and across various departments as well as assisting him with day to day tasks.

Real growth path. Within 24-48 months, strong performers could move into operations leadership.
 
What you'll actually do:
Investigate operational issues end-to-end and propose solutions
Work alongside AI tools (Claude, automation systems) to build internal systems our team uses every day
Manage production and operations projects start to finish across multiple departments
Assist COO with incoming tasks and projects
Build models and analyses that drive real decisions — production capacity planning, cost-per-order analysis, vendor performance tracking
Jump on the floor yourself — shipping orders, helping production, getting your hands dirty.
Coordinate with production teams on special orders and rush requests
Who you are:
1-3 years out of school (or comparable experience) — consulting, banking, F500 rotational programs, military, teaching, healthcare admin, operations roles, etc. Backgrounds vary widely.
Engineering or analytical mindset (don't need the degree, just need to think like one)
Detail-oriented, organized, excellent communicator
Hungry, hard-working, willing to do whatever the job requires
Comfortable with ambiguity and shifting priorities
This position is in-person.

To apply email your resume along with answers to the below questions:


Briefly describe a multi-step project you owned end-to-end. What made it succeed or fail? (2-3 sentences)
Why does this specific role interest you? (2-3 sentences)",,Full-time,,On-site,active,software engineer
Founding Engineer (with equity),Miru - Fintech,,https://startup.jobs/founding-engineer-with-equity-miru-technology-inc-7933051,c5c06677ee04008abe91527bfa80ef69a04a8d611d7a05d721d8449f6cf5fdfd,startup_jobs,"You will be working with a team of NOI/IOI gold medalists and founders that have founded multiple unicorn companies.

**About the Role**


You'll own the end-to-end data and modeling infrastructure that powers our platform. This spans ingesting and processing large volumes of financial market data and news, building the crawling and indexing pipelines, and developing the machine learning systems.


**What You'll Do**


*Data Infrastructure*
- Design and operate high-throughput ingestion pipelines for market data, news feeds, and alternative datasets
- Build scalable batch and streaming processing systems that handle the volume and latency demands of financial data
- Build and maintain large-scale data ingestion pipelines targeting financial news and other feeds
- Design indexing and retrieval systems for structured and unstructured content at scale


*Machine Learning*
- Develop predictive models on financial time-series data that help decision making
- Build feature engineering pipelines grounded in macroeconomic indicators and alternative data sources
- Fine-tune and prompt-engineer LLMs for financial news understanding, earnings analysis, and event extraction
- Design retrieval-augmented generation pipelines over financial document corpora


**What We're Looking For**


- Significant experience in software engineering, with hands-on experience building data pipelines at scale
- Strong background in ML systems, with the understand of the *why* behind distributed systems and ML models
- Thrive with ambiguity; you can take a vague problem, structure it, and ship a solution with autonomy","$200,000 – $500,000",Full-time,,On-site,active,software engineer
LEAD AI ENGINEER,Confidential,"Stockholm, Sweden",https://startup.jobs/lead-ai-engineer-confidential-ai-technology-7984680,31a101b0ead3ca8cf692ad9df94f890d2895f4ed1bf3dde659373e3de0b92ce8,startup_jobs,"LEAD AI ENGINEER


Stockholm · On-Site · Full-Time · Immediate Start



Who We Are


We are a well-funded, early-stage technology company on a mission to fundamentally redefine the way the world searches, discovers, and transacts, built on a philosophy that puts the user first at every step.

The user is not simply a means of transaction. They are a valued participant whose data works for them, not against them, enriching their world and their own experience within it, with them retaining full control.


Our mission is underpinned by proprietary, patent-pending technology built on a novel engine and system.



The Problem You Will Be Solving

The internet was built to inform the many, not to serve the individual. Platforms optimize for engagement, extraction, and consumption at global scale. AI has made this model even more efficient, with the user still largely remaining the input, not the full beneficiary.

The problem is not information. The world has never had more. The problem is that people give away a lifetime of data without receiving the personalized experience it should enable.


People should not have to search. They should simply find.



Who You Are


•  Highly talented and motivated to build products with people, for people

•  You thrive in zero-to-one environments and find genuine satisfaction in creating from scratch


•  A fast-paced thinker with a relentless desire to learn, improve, and raise the standard around you


•  Able to inspire, elevate, and collaborate; you make the people around you better

•  A great communicator; you express complex ideas with clarity, precision, and confidence across all levels of the organization


•  Able to transform ideas into working systems and technical milestones with light speed and precision

•  Highly ambitious and action-driven; you thrive under pressure and find genuine energy in working at the edge of what is considered possible


• Capable of designing and building production-grade systems in a fourth of the time most experienced and “sane” professionals would consider possible



What You Will Do

•  Design end-to-end machine learning architectures, including data pipelines, feature engineering, model training, real-time serving, and evaluation systems


•  Build scalable personalization and relevance systems that process high-volume, sequential behavioral data in real time to power context-aware content delivery at scale

•  Develop high-velocity model training pipelines capable of learning from large-scale heterogeneous datasets, enabling rapid experimentation while maintaining production-grade rigor and reliability


•  Design and operate low-latency model serving infrastructure that supports seamless version rollouts, traffic management, and feature transitions with zero user-visible disruption


•  Create comprehensive experimentation and evaluation platforms, combining offline metrics, online A/B testing, and integrated tooling to provide continuous, data-driven visibility into platform improvements

•  Establish ML engineering standards around code quality, reproducibility, monitoring, and incident response that will be inherited by the broader engineering team



Minimum Qualifications

•  MSc in Machine Learning, Computer Science, Statistics, or a directly related quantitative field from KTH, Chalmers, ETH Zurich, EPFL, or an institution of equivalent standing

•  3 or more years of industry experience designing and shipping production ML systems at scale; architectures you originated, not contributed to


•  Demonstrated experience working in or alongside early-stage, fast-moving technology companies; you understand what it means to build without a safety net


•  Deep expertise in at least two of: large-scale personalization, recommendation and ranking systems, sequential behavioral modelling, real-time ML serving, or privacy-preserving ML at the architecture level


•  Production software engineering discipline that extends well beyond model code; you design the systems beneath the ML layer, not only the models on top of it

•  Exceptional candidates with fewer years of industry experience will be considered where their research output, published work, or demonstrated systems constitute an equivalent body of evidence



Preferred Qualifications

•  PhD in Machine Learning, Computer Science, or a directly related field; given significant weight in our assessment

•  Prior experience as a technical lead, staff engineer, or principal engineer at a high-growth technology company or research institution


•  Background from a company known for world-class ML systems; Spotify, Klarna, Google, Meta, OpenAI, DeepMind or comparable


•  Research publications or substantive independent technical work in relevant technical areas


•  A track record of delivering complete, production-quality ML systems at a pace that clearly distinguishes you from peers



What We Offer

Expect the most talented, rigorous, and driven colleagues you have work",,Full-time,,On-site,active,software engineer
Founding Engineer (With Equity),Radius,,https://startup.jobs/founding-engineer-with-equity-radius-7981022,9385923a48552ebac57f6c3defd2cddd208f83b35fb7150dbdb67fd5a87e557d,startup_jobs,"Founding Engineer — Architecture & Scale


Location: US Remote (Austin based preferred)
Reports to: Founder/CEO
Compensation: $125K-$175K plus up to 3% equity



Why this role exists

Radius is building infrastructure for a part of the housing market the travel stack largely ignores: midterm stays for traveling professionals, relocations, and insurance-displacement housing.



We already have:


a working product
paying customers
active marketplace supply
an ongoing pilot with a major insurance housing company



The founding team brings deep experience across PropTech, consulting, private equity, and corporate housing operations — including multiple years directly operating a corporate housing business. We understand the operational pain points behind the workflows we’re building for.



We’re now at the stage where architecture decisions materially matter. The next phase is less about “building an MVP” and more about building systems that scale reliably across inventory, bookings, integrations, and payments.



You’ll work directly with the founders in a small, highly collaborative team. Founders here ship code, stay close to customers, and make decisions quickly. The founding team are brothers, which we think creates unusually strong alignment, trust, and long-term thinking around how the company is built.



This is an individual contributor role focused on building, architecture, and execution — not people management. Over time, there’s room for the role to evolve into broader technical leadership as the team scales.


How we work

We care more about sustained execution than heroics.



We’re pragmatic, product-oriented, and highly collaborative. We value engineers who can think deeply about systems while still moving quickly and staying close to users.



We optimize for:



clear ownership
low ego
fast iteration
practical decision-making
systems that stay understandable as they grow



We’re flexible about how people organize their work and time. We care much more about outcomes, reliability, and momentum than performative hustle.


What you’ll work on

Our current stack:



Django 5.1 + DRF
Postgres 16
React 19 / Vite / Tailwind
Stripe Connect



The product works today. The next challenge is building the infrastructure that makes the next 10x phase feel operationally boring and reliable.



You’ll take ownership of problems like:



Search & discovery



Today: Leaflet / Mapbox + Supercluster
Next: scalable geo-query infrastructure using tools like PostGIS and OpenSearch, with fast map interactions across large inventory sets.



Async infrastructure



Moving long-running workflows and webhook processing into a reliable async architecture with strong operational discipline around retries, observability, and failure handling.



Calendar consistency



Designing reliable availability reconciliation across OTA drift, direct bookings, and external integrations — including locking strategies, idempotency, and consistency guarantees.



Payments & payouts



Building resilient Stripe Connect workflows for installment payments, payouts, reconciliation, and replayable webhook processing.



Automated testing & trustability



As LLM-assisted development speeds up iteration, maintaining trust in the system matters more — not less. We care about strong automated testing, regression detection, safe deploys, and reducing the blast radius of changes.



Infrastructure & deployment



Improving CI/CD, observability, logging, and deployment workflows using declarative infrastructure and GitOps-style practices (Terraform, Pulumi, AWS CDK, or similar).



Multi-tenant performance (future-facing)



As insurance and enterprise workloads grow, we expect new scaling and permissioning challenges around bursty traffic patterns and account isolation. This is likely a later-stage optimization problem, but we want someone who naturally thinks ahead about those tradeoffs.



The technologies above are directional, not predetermined. We care more about sound engineering judgment than attachment to specific tools.



You’ll also participate in product discussions and customer conversations. We want engineering tightly connected to the operational realities of the platform.


What success looks like

In your first week



Push code to production
Understand the booking and payments flows
Improve or simplify at least one small piece of the system
Build context around the operational realities of the business



In your first 1–3 months



Take ownership of one major infrastructure area
Improve reliability, observability, or deployment confidence
Reduce operational friction for the team
Help establish stronger engineering standards around testing and system trustability



In your first year



Help build the technical foundation for the next order of magnitude of scale
Create systems that are easier to operate, extend, and reason about
Influence hiring and engineering culture as the team grows
Help shape the long-term architec","$125,000 – $175,000",Full-time,,Remote,active,software engineer
