2026-05-26 11:44:43,332 | accel_jobs | INFO | accel_jobs scraper started
2026-05-26 11:44:43,333 | accel_jobs | INFO | Initializing accel_jobs scraper
2026-05-26 11:44:50,943 | accel_jobs | INFO | Browser initialized for accel_jobs
2026-05-26 11:44:50,943 | accel_jobs | INFO | Searching: software engineer
2026-05-26 11:44:52,088 | accel_jobs | INFO | Processed: Software Engineer I
2026-05-26 11:44:52,088 | accel_jobs | INFO | Processed: Software Engineer 1
2026-05-26 11:44:52,088 | accel_jobs | INFO | Processed: Software Engineer
2026-05-26 11:44:52,088 | accel_jobs | INFO | Processed: Sr Principal Software Engineer (L7 Security)
2026-05-26 11:44:52,088 | accel_jobs | INFO | Processed: Principal Software Engineer, Go-To-Market (GTM) and CX Products
2026-05-26 11:44:52,093 | accel_jobs | INFO | Processed: Principal IT Software Engineer
2026-05-26 11:44:52,093 | accel_jobs | INFO | Processed: Principal Software Engineer -Email Security (Cortex)
2026-05-26 11:44:52,093 | accel_jobs | INFO | Processed: Software Engineer - Wildfire
2026-05-26 11:44:52,094 | accel_jobs | INFO | Processed: Principal Engineer Software (Prisma AIRS Backend)
2026-05-26 11:44:52,094 | accel_jobs | INFO | Processed: Principal Software Engineer - SASE AI/ML
2026-05-26 11:44:52,094 | accel_jobs | INFO | Processed: Job Posting Title Principal Full-Stack Software Engineer (Shared Services)
2026-05-26 11:44:52,094 | accel_jobs | INFO | Processed: Principal Engineer Software
2026-05-26 11:44:52,094 | accel_jobs | INFO | Processed: Staff Software Engineer (Infosec)
2026-05-26 11:44:52,095 | accel_jobs | INFO | Processed: Sr Principal Engineer Software (AI Enablement & Strategy)
2026-05-26 11:44:52,095 | accel_jobs | INFO | Processed: Principal Software Engineer, Prisma Access
2026-05-26 11:44:52,095 | accel_jobs | INFO | Processed: Principal/Senior Engineer Software - Agentic Endpoint Security(Cortex)
2026-05-26 11:44:52,095 | accel_jobs | INFO | Processed: Director, Software Engineering - AI Applications
2026-05-26 11:44:52,095 | accel_jobs | INFO | Processed: Software Backend Engineer - Java
2026-05-26 11:44:52,095 | accel_jobs | INFO | Processed: Software Engineer
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: Lead Software Engineer
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: Senior Software Engineer (Frontend)
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: Software Engineer- Integrations Frameworks
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: Software Engineer, SystemML - AI Networking
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: QA Engineer, Software Quality Assurance
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: Model Performance Software Engineer, Claude Code
2026-05-26 11:44:52,096 | accel_jobs | INFO | Processed: Staff UI Software Engineer, Claude.ai Consumer Product
2026-05-26 11:44:52,097 | accel_jobs | INFO | Processed: Mission Software Engineer, Public Sector
2026-05-26 11:44:52,097 | accel_jobs | INFO | Processed: Mission Software Engineer, Public Sector
2026-05-26 11:44:52,097 | accel_jobs | INFO | Processed: Mission Software Engineer, Public Sector
2026-05-26 11:44:52,097 | accel_jobs | INFO | Processed: Sr Software Engineer, BE Python
2026-05-26 11:44:52,097 | accel_jobs | INFO | Searching: data analyst
2026-05-26 11:44:52,603 | accel_jobs | INFO | Processed: MASTER DATA ANALYST
2026-05-26 11:44:52,603 | accel_jobs | INFO | Processed: Data Analyst
2026-05-26 11:44:52,603 | accel_jobs | INFO | Processed: Marketing Data Analyst and Enablement Lead
2026-05-26 11:44:52,603 | accel_jobs | INFO | Processed: Data Protection Analyst
2026-05-26 11:44:52,603 | accel_jobs | INFO | Processed: Lead Marketing Data Analyst (x/f/m)
