2026-05-26 16:37:51,804 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 16:37:51,805 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 16:38:40,684 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 16:38:40,685 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 16:38:49,412 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 16:38:49,413 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 16:50:28,467 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 16:50:28,469 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 16:50:37,267 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 16:50:37,268 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:05:19,122 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:05:19,123 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:05:25,815 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:05:25,815 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:07:29,319 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:07:29,320 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:07:35,906 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:07:35,906 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:10:15,830 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:10:15,831 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:10:22,426 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:10:22,427 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:11:43,628 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:11:43,629 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:11:50,184 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:11:50,184 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:23:13,174 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:23:13,174 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:23:19,766 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:23:19,766 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:47:36,262 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:47:36,262 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:47:43,663 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:47:43,664 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:54:33,024 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:54:33,025 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:54:35,182 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:54:35,183 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 17:58:05,882 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 17:58:05,882 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 17:58:06,567 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 17:58:06,567 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:07:04,387 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 18:07:04,388 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 18:07:05,057 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 18:07:05,057 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:08:29,722 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 18:08:29,723 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 18:08:30,412 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 18:08:30,412 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:08:55,922 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 18:08:55,923 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 18:08:56,825 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 18:08:56,826 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:09:44,151 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 18:09:44,152 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 18:09:44,901 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 18:09:44,901 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:11:21,000 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 18:11:21,001 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 18:11:21,916 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 18:11:21,917 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:11:32,149 | khosla_jobs | INFO | Searching: backend engineer
2026-05-26 18:11:33,759 | khosla_jobs | INFO | Searching: react developer
2026-05-26 18:11:35,332 | khosla_jobs | INFO | Searching: java developer
2026-05-26 18:11:36,910 | khosla_jobs | INFO | Total jobs: 0
2026-05-26 18:13:56,028 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 18:13:56,029 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 18:13:56,692 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 18:13:56,692 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 18:14:01,567 | khosla_jobs | INFO | Total jobs: 0
2026-05-26 19:12:58,049 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 19:12:58,081 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 19:12:58,790 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 19:12:58,790 | khosla_jobs | INFO | Searching: software engineer
2026-05-26 19:16:07,772 | khosla_jobs | INFO | khosla_jobs scraper started
2026-05-26 19:16:07,773 | khosla_jobs | INFO | Initializing khosla_jobs scraper
2026-05-26 19:16:08,731 | khosla_jobs | INFO | Browser initialized for khosla_jobs
2026-05-26 19:16:08,732 | khosla_jobs | INFO | Searching: software engineer
